dataset,cenario,detector,tipo,n,rank_no_tipo,feature,mdi
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,8,chest_acc6_z__stretch_high,0.015356
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,9,chest_acc6_z__forecast_error,0.014655
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,10,chest_acc6_x__forecast_error,0.012954
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,11,chest_acc6_y__mean,0.011279
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,12,chest_acc6_z__low_freq_power,0.010348
pamap2_chest,catch24_drift,GeometricMovingAverage,catch,13,13,chest_gyro_x__SD,0.010347
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,1,chest_mag_y,0.019661
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,2,chest_acc16_z,0.016095
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,3,chest_acc6_z,0.013248
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,4,chest_mag_x,0.011168
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,5,chest_acc6_y,0.007368
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,6,chest_acc16_y,0.004294
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,7,chest_mag_z,0.00368
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,8,chest_temperature,0.000928
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,9,chest_acc16_x,8.7e-05
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,10,chest_acc6_x,6.9e-05
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,11,chest_gyro_y,1.9e-05
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,12,chest_gyro_z,0.0
pamap2_chest,catch24_drift,GeometricMovingAverage,original,13,13,chest_gyro_x,0.0
pamap2_ankle,catch24,,catch,1,1,ankle_acc6_x__mean,0.057184
pamap2_ankle,drift,KSWIN,score,13,1,score_ankle_mag_x,0.156331
pamap2_ankle,drift,KSWIN,score,13,2,score_ankle_mag_z,0.129877
pamap2_ankle,drift,KSWIN,score,13,3,score_ankle_acc6_z,0.107995
